,IOC,Type,VT_Malicious,VT_Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
104,e2c283438e5f9236c5cb2e6b8b95ca78d520f7b776d64a050664972cb51076f5,file,23,0,76,30.26,Trojan:PowerShell/Obfuse!MSR,2,No,,,,0,0
105,as-an-a.org,domain,2,1,94,2.13,undetected,2,No,,,,0,0
106,e77bd0bf2c2f5f0094126f34de49ea5d4304a094121307603916ae3c50dfcfe4,file,4,0,76,5.26,,3,No,,,,0,0
107,185.125.50.209,ip_address,2,2,94,2.13,undetected,2,No,Germany,Hesse,Frankfurt am Main,50.1169,8.6837
108,08d4a681aadff5681947514509c1f2af10ff8161950df2ae7f8ee214213edc17,file,4,0,76,5.26,,2,No,,,,0,0
109,7-zip.cfd,domain,14,1,94,14.89,undetected,10,No,,,,0,0
110,aimp.xyz,domain,11,0,94,11.7,undetected,4,No,,,,0,0
111,quicken-install.com,domain,14,1,94,14.89,undetected,17,No,,,,0,0
112,4d0663cff0c5c3f29c81e9aefd37f16a318ff638986ecc60e9bce6c90b72606b,file,25,0,76,32.89,Trojan:PowerShell/Powdow.HBT!MTB,2,No,,,,0,0
113,law2024.info,domain,12,0,94,12.77,undetected,10,No,,,,0,0
114,7zip10-2024.live,domain,15,0,94,15.96,undetected,2,No,,,,0,0
115,wen-airdrop.network,domain,12,0,94,12.77,undetected,3,No,,,,0,0
116,2024-7zip.pw,domain,14,0,94,14.89,undetected,10,No,,,,0,0
117,lexisnexis.day,domain,16,0,94,17.02,undetected,16,No,,,,0,0
118,85.209.134.45,ip_address,10,0,94,10.64,undetected,2,No,United States,New Jersey,Secaucus,40.7895,-74.0565
119,103.35.190.40,ip_address,2,1,94,2.13,undetected,8,No,United States,New Jersey,Secaucus,40.7876,-74.06
120,thomsonreuter.pro,domain,9,1,94,9.57,undetected,13,No,,,,0,0
121,45.82.84.13,ip_address,8,0,94,8.51,undetected,3,No,United States,California,Los Angeles,34.0549,-118.243
122,34f50a5215c544cbd2ce67bcbf89cf2aee798c56cfb9e225e57e8c8270021210,file,9,0,76,11.84,,2,No,,,,0,0
123,7zip2024.shop,domain,0,0,0,0,undetected,2,No,,,,0,0
124,ae4db4f97700aab607368a4d3a489215b2ddb5af60004b8da6e5b0c0220c2c25,file,0,0,0,0,undetected,3,No,,,,0,0
125,7zipx.site,domain,0,0,0,0,undetected,2,No,,,,0,0
126,103.35.191.222,ip_address,0,0,0,0,undetected,2,No,United States,New Jersey,Secaucus,40.7876,-74.06
127,asaana.net,domain,0,0,0,0,undetected,2,No,,,,0,0
128,45.89.53.215,ip_address,0,0,0,0,undetected,2,No,United States,New Jersey,Secaucus,40.7876,-74.06
129,c3ecbc6023bfa170c31eaf7033b68495798e305111ca9f2f203f58b9ec942384,file,0,0,0,0,undetected,2,No,,,,0,0
130,195.133.67.165,ip_address,0,0,0,0,undetected,2,No,Germany,State of Berlin,Berlin,52.4992,13.3142
131,law360.one,domain,0,0,0,0,undetected,10,No,,,,0,0
132,84f2d273623efb6cdd126a89c1f9567e8977d21ffe684758dd722a27d2d53aa9,file,0,0,0,0,undetected,4,No,,,,0,0
133,lexis2024.info,domain,0,0,0,0,undetected,10,No,,,,0,0
134,meetgo2024.life,domain,0,0,0,0,undetected,2,No,,,,0,0
135,212.224.107.150,ip_address,0,0,0,0,undetected,2,No,Germany,Hesse,Frankfurt am Main,50.1109,8.68213
136,85.209.134.186,ip_address,0,0,0,0,undetected,32,No,United States,New Jersey,Secaucus,40.7895,-74.0565
137,meet-go.org,domain,0,0,0,0,undetected,3,No,,,,0,0
138,wsj.pm,domain,0,0,0,0,undetected,1,No,,,,0,0
139,7zip-1508.one,domain,0,0,0,0,undetected,2,No,,,,0,0
140,96e20ac7d4b018b360672f3fd9e63d3429bb4dee3974951c70699f44c87278c2,file,0,0,0,0,undetected,2,No,,,,0,0
141,62.76.234.49,ip_address,0,0,0,0,undetected,3,No,Italy,Sicily,Palermo,38.1302,13.329
142,7zlp2024.shop,domain,0,0,0,0,undetected,4,No,,,,0,0
143,6fdeb1c2f4b5bc4ff6ea9635ca72d8670c07cfd17d3b7779caee22b96727f732,file,0,0,0,0,undetected,2,No,,,,0,0
144,a309753efca5242bbc9ca0e54a381ef2bac6625a0f591d79f8525e1ec196be4e,file,0,0,0,0,undetected,3,No,,,,0,0
145,e145db8668b15278cc55b723df9f296103ef2ea3511d90e2bbb2ffa5291d4ae4,file,0,0,0,0,undetected,2,No,,,,0,0
146,547ef48f46ecfe31ee7edc7bbff0c2406f43d11915bcef84372172873012eacd,file,0,0,0,0,undetected,2,No,,,,0,0
147,62.60.155.194,ip_address,0,0,0,0,undetected,2,No,United Kingdom,England,London,51.5081,-0.1278
148,188.132.183.172,ip_address,0,0,0,0,undetected,2,No,Türkiye,Istanbul,Istanbul,41.0651,28.9913
