,IOC,Type,VT_Malicious,VT_Suspicious,Total Engines,Severity %,Microsoft Detection,OTX Pulses,In CIRCL Dataset,Country,State,City,Latitude,Longitude
81,de88ae471d8b95e5e10264aea5eb040fedb9bb71428385e7cff6c77a6ae47d97,file,21,0,76,27.63,,2,No,,,,0,0
7,e145db8668b15278cc55b723df9f296103ef2ea3511d90e2bbb2ffa5291d4ae4,file,0,0,0,0,undetected,2,No,,,,0,0
68,e300c44b45b07f3766586e500f4f3596c23ffd80171eaa5334bb4db3e8d027e0,file,22,0,76,28.95,,3,No,,,,0,0
27,e4fff1e153ef46a29865f28df724e7a3246809d9ae75a7546b580938acbbcb73,file,25,0,76,32.89,,3,No,,,,0,0
37,e580dd04cbe2407ac7ab06d148297231cffbb8f8f986ce1e152383970927bb71,file,17,0,76,22.37,TrojanDropper:PowerShell/Doprimm,2,No,,,,0,0
26,e9010ab2a031125f12225d8b1f19ac65bc03b87332dc5caa35028a577b9ca0fe,file,26,0,76,34.21,Trojan:PowerShell/Malgent!MSR,2,No,,,,0,0
9,e9b0cc2118a7a07709b56f7358c07f4a2959f81c87da5f565fa08382768fac8b,file,2,0,76,2.63,,2,No,,,,0,0
99,ee6a58d1e3ce4f2e7fac7bb3c1f1c24836bcc79f456035aede52b7d14a7de77f,file,23,0,76,30.26,,2,No,,,,0,0
41,f015da1f2ada32f734b81aa282bea62840cd84afaa353ca52d5e2d0c82e705d1,file,25,0,76,32.89,,4,No,,,,0,0
87,f10bd5443148d47fbf7c6a6998651eb9bda4c7c9213f9e5a65a76e98637cb748,file,6,0,76,7.89,,2,No,,,,0,0
36,f4052e52fed661fd05ea39a5187781ec6c234c5d7ea4ab91cd77f2e1d2c709b5,file,31,0,76,40.79,Trojan:PowerShell/Obfuse.RP!MTB,2,No,,,,0,0
74,fbe1970d89b8546cd57522bf479e8be08fec4f3df9bdf79d0f3436250ce38379,file,19,0,76,25,,2,No,,,,0,0
