,IOC,Type,Total Engines,Malicious,Suspicious,Microsoft Detection,Flagged by Microsoft,In CIRCL Dataset,Severity Percentage
70,e3028ecd7637653dda1250fa2925e143796e385cda98191f04eec0681fd0c826,file,76,56,0,Trojan:MSIL/FormBook!rfn,Yes,No,73.68
71,e420fad29425623e0167cbc0a0a1aec2aeb5e1908db624ec5a15552001ada7db,file,76,47,0,,No,No,61.84
72,e6c916a35a9cdf7325523a1ece2390568ba81d0a8d8502c838160feefdcac1a9,file,76,30,0,Trojan:BAT/Alien.RP!MTB,Yes,No,39.47
73,ecaf1d8c8ee27ca922ee279f0972198dc7aa0cff950ce88def1a78e93a6a7f15,file,76,58,0,Trojan:Win32/LummaStealer.DSK4!MTB,Yes,No,76.32
74,f2ef8e3af2210af33bd69b473f393395d8c84f7361bceb9123d3bd7bf0f2bf9f,file,75,53,0,Trojan:MSIL/ClipBanker.GC!MTB,Yes,No,70.67
75,f350361892bcb6a2a60acc48b95c31790162516a3d58ba08c2474165f918face,file,76,58,0,Trojan:MSIL/QuasarRAT.DB!MTB,Yes,No,76.32
76,f3b03dd677c48f38d3e407c423b77ff7b8e5a51cf096cb4673f6f0f016bd6b3c,file,76,56,0,Trojan:MSIL/AgentTesla.RAF!MTB,Yes,No,73.68
77,f6408f2aba1a49dbd77fb7c44fbf73f3dfc31b3d01dae867d061fa1cf43623f0,file,76,62,0,Backdoor:MSIL/Quasar!atmn,Yes,No,81.58
78,fb20037526258b813f447841a4d2c63c9013ea852a5ca5587e3c3ea9cf5cbc57,file,75,56,0,VirTool:MSIL/Subti.C,Yes,No,74.67
79,fd0da5a488e7d4bf274e63bc23f649a200e234fdfa75a2fa2b77c5db334b8f1c,file,76,15,0,Trojan:VBS/QuasarRAT!MTB,Yes,No,19.74
80,fe493b60d0e5d7bd75ab2d591fb66424bbaeb268a6fd00d6c891c6f3d31a0092,file,76,56,0,Backdoor:MSIL/Quasar!atmn,Yes,No,73.68
81,ffa0dd5974777f020c77814d62e781ee907e573a5f76878a8cc11b23f94de99e,file,76,51,0,Trojan:Win32/Leonem!rfn,Yes,No,67.11
